Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"Rose Market",-121.86597,37.347843,"1250 E Santa Clara St","","San Jose","CA","95116","2336","SANTA CLARA" 
"TODDS MARKET",-117.25216,34.074272,"1605 E Victoria Ave","","San Bernardino","CA","92408","3041","SAN BERNARDINO" 
"Pinchers Liquor",-118.35003,34.048077,"5121 W Pico Blvd","","Los Angeles","CA","90019","4133","LOS ANGELES" 
"Jamacha Produce Market",-116.96178,32.729656,"10761 Jamaacha Blvd","Ste D, E & F","Spring Valley","CA","91978","1843","SAN DIEGO" 
"Maywood Plaza Ranch Market",-118.20193,33.988785,"3516 Slauson Ave","","Maywood","CA","90270","2527","LOS ANGELES" 
"Saigon City Marketplace",-117.9549,33.738289,"15471 Brookhurst St","","Westminster","CA","92683","7051","ORANGE" 
"Stater Bros. Markets 173",-116.97718,33.947571,"1430 Beaumont Ave","","Beaumont","CA","92223","4704","RIVERSIDE" 
"Grace Liquor",-118.35979,33.894611,"4700 Marine Ave","","Lawndale","CA","90260","1247","LOS ANGELES" 
"Golden Liquor",-118.09061,34.146233,"2895 E Colorado Blvd","","Pasadena","CA","91107","4311","LOS ANGELES" 
"Trader Joe's 174",-122.2481,37.496777,"1482 El Camino Real","","San Carlos","CA","94070","5102","SAN MATEO" 
"Helen's Liquor",-118.19251,33.908669,"12512 Atlantic Ave","","Lynwood","CA","90262","5320","LOS ANGELES" 
"Northgate 18",-117.92011,33.737179,"770 S Harbor Blvd","","Santa Ana","CA","92704","2320","ORANGE" 
"PARKER AVE MARKET",-121.42986,37.74733,"1656 Parker Ave","","Tracy","CA","95376","3048","SAN JOAQUIN" 
"Foods Co 387",-121.32097,36.417622,"2443 H Dela Rosa SR St","","Soledad","CA","93960","3392","MONTEREY" 
"COST LESS FOOD COMPANY 8",-120.76843,38.34388,"555 S State Highway 49","","Jackson","CA","95642","2535","AMADOR" 
"AHWAHNEE QUICK MART",-119.72536,37.367317,"42566 Highway 49","","Ahwahnee","CA","93601","","MADERA" 
"BEN'S MINI MARKET",-118.44067,34.193996,"14131 Vanowen St","","Van Nuys","CA","91405","3255","LOS ANGELES" 
"Tony's Market",-118.06445,34.052502,"2027 Rosemead Blvd","","South El Monte","CA","91733","1526","LOS ANGELES" 
"Big Red Seafood Market",-118.3178,33.966335,"7929 S Van Ness Ave","","Inglewood","CA","90305","1542","LOS ANGELES" 
"Angelica's Market",-118.27029,33.994267,"243 E 53rd St","","Los Angeles","CA","90011","4519","LOS ANGELES" 
"JOONS BARGAIN",-118.28275,33.995449,"5207 S Figueroa St","","Los Angeles","CA","90037","3744","LOS ANGELES" 
"The Hero Market",-116.4397,34.232471,"1160 Old Woman Springs Rd","","Yucca Valley","CA","92284","1875","SAN BERNARDINO" 
"Mojave Market",-117.32058,34.528843,"15745 Mojave Dr","","Victorville","CA","92394","1929","SAN BERNARDINO" 
"Whitmore Market",-120.95238,37.594711,"2362 E Whitmore Ave","","Ceres","CA","95307","2636","STANISLAUS" 
"Muscoy Liquor",-117.33198,34.136158,"1916 W Highland Ave","","San Bernardino","CA","92407","6504","SAN BERNARDINO" 
"ZIPPYS FOOD MART",-122.41188,40.576687,"1750 Pleasant St","","Redding","CA","96001","2327","SHASTA" 
"Nu Way Market",-118.24126,33.984543,"6101 Holmes Ave","","Los Angeles","CA","90001","1819","LOS ANGELES" 
"California Chevron",-119.04792,35.367496,"4100 California Ave","","Bakersfield","CA","93309","1014","KERN" 
"Seven Liquor",-117.44794,34.099255,"16339 Arrow Blvd","Unit A","Fontana","CA","92335","7744","SAN BERNARDINO" 
"Karabagh Meat Market 2",-118.43291,34.186699,"13747 Victory Blvd","","Van Nuys","CA","91401","2348","LOS ANGELES" 
"Priya's Market and Liquors",-122.10954,37.676212,"20008 Meekland Ave","","Hayward","CA","94541","2025","ALAMEDA" 
"CONTRERAS MEAT MARKET",-123.17196,39.133114,"1691 Talmage Rd","","Ukiah","CA","95482","6029","MENDOCINO" 
"SF SUPERMARKET",-121.44859,38.474186,"4562 MACK RD","","SACRAMENTO","CA","95823","","SACRAMENTO" 
"SIDHUS ARCO",-121.97037,38.353218,"199 Elmira Rd","","Vacaville","CA","95687","4700","SOLANO" 
"Selma Farmers Market, LLC",-119.59176,36.546864,"10951 E Mountain View Ave","","Selma","CA","93662","9744","FRESNO" 
"MARYLAND MARKET",-122.4141,37.782848,"300 Turk St","","San Francisco","CA","94102","3704","SAN FRANCISCO" 
"La Chiquita Meat Market",-121.26511,38.12336,"845 S Central Ave","","Lodi","CA","95240","4832","SAN JOAQUIN" 
"Trader Joe's 193",-122.02512,36.97464,"700 Front St","","Santa Cruz","CA","95060","4525","SANTA CRUZ" 
"RITE AID 5430",-118.26023,34.028896,"446 E Washington Blvd","","Los Angeles","CA","90015","3721","LOS ANGELES" 
"RITE AID 5432",-118.15211,34.019257,"5490 Whittier Blvd","","Commerce","CA","90022","4113","LOS ANGELES" 
"RITE AID 5451",-118.32942,33.988983,"3230 W Slauson Ave","","Los Angeles","CA","90043","2564","LOS ANGELES" 
"RITE AID 5455",-118.23901,33.926739,"11750 Wilmington Ave","","Los Angeles","CA","90059","2553","LOS ANGELES" 
"Superior Grocers 120",-117.66316,34.063305,"815 W Holt Blvd","","Ontario","CA","91762","3681","SAN BERNARDINO" 
"Superior Grocers 119",-118.16811,33.855267,"5450 Cherry Ave","","Long Beach","CA","90805","5502","LOS ANGELES" 
"RITE AID 5458",-118.35556,34.022045,"3550 S la Brea Ave","","Los Angeles","CA","90016","5219","LOS ANGELES" 
"RITE AID 5459",-118.16468,33.969555,"6959 Eastern Ave","","Bell Gardens","CA","90201","3926","LOS ANGELES" 
"RITE AID 5466",-118.14072,33.944275,"7859 Firestone Blvd","","Downey","CA","90241","4220","LOS ANGELES" 
"RITE AID 5475",-118.22517,33.98196,"6360 Pacific Blvd","","Huntington Park","CA","90255","4102","LOS ANGELES" 
"RITE AID 5476",-118.211,33.928127,"11325 Long Beach Blvd","","Lynwood","CA","90262","3300","LOS ANGELES" 
"RITE AID 5479",-118.18687,33.987221,"4410 Slauson Ave","","Maywood","CA","90270","2932","LOS ANGELES" 
"RITE AID 5486",-118.32635,33.931572,"11340 Crenshaw Blvd","","Inglewood","CA","90303","2807","LOS ANGELES" 
"RITE AID 5495",-118.07449,33.973789,"7860 Norwalk Blvd","","Whittier","CA","90606","2185","LOS ANGELES" 
"RITE AID 5504",-118.106,34.017239,"802 W Beverly Blvd","","Montebello","CA","90640","4213","LOS ANGELES" 
"RITE AID 5508",-118.12525,33.888866,"15924 Bellflower Blvd","","Bellflower","CA","90706","4602","LOS ANGELES" 
"RITE AID 5510",-118.117,33.857174,"5520 Woodruff Ave","","Lakewood","CA","90713","1535","LOS ANGELES" 
